ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID;DoodadSetIndexes;DoodadSetNames
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18066.720703125;43.555397033691406;26661.251953125;0;138.97030639648438;0;;1.2373046875;14118;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18230.8046875;34.427024841308594;26863.25;0;219;0;;1.134765625;21103;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18697.890625;52.384246826171875;26808.765625;0;322.50250244140625;0;;1.1337890625;21656;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18212.02734375;38.20597457885742;26811.166015625;0;334;0;;1.1142578125;21056;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18296.638671875;48.16386795043945;26630.97265625;0;158;0;;1.1396484375;14556;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18242.15234375;44.59981918334961;26778.3203125;0;34;0;;1.064453125;20840;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18590.12890625;32.40461730957031;26916.17578125;0;37;0;;0.984375;21208;m2;189929;0;
..\..\world\azeroth\redridge\passivedoodads\trees\redridgetreecanopy03.obj;18693.080078125;33.7384147644043;27101.8203125;0;223.18394470214844;0;;0.958984375;365404;m2;190123;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18692.576171875;24.703102111816406;26995.7421875;0;292.9483947753906;0.9999998807907104;;1.0029296875;89702;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18309.7265625;25.033647537231445;27136.087890625;0;292.5;2.5;;1;21501;m2;189929;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;18692.546875;133.41226196289062;27214.66015625;0;308.0824279785156;0;;1.193359375;559453;m2;189560;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18564.3671875;50.06542205810547;26772.228515625;0;120;0;;0.94921875;20991;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18115.3046875;36.48784255981445;26838.998046875;0;27;0;;0.9541015625;20372;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18533.693359375;30.28653907775879;26939.9453125;0;130;0;;0.8798828125;21247;m2;189929;0;
..\..\world\azeroth\duskwood\passivedoodads\spooklesstrees\duskwoodtreespookless02.obj;18272.40625;27.652109146118164;27160.556640625;0;216;0;;1;21496;m2;189522;0;
..\..\world\azeroth\duskwood\passivedoodads\spooklesstrees\duskwoodtreespookless02.obj;18307.0625;25.130857467651367;27196.0390625;0;216;0;;1;21577;m2;189522;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18362.83203125;35.640892028808594;26936.916015625;0;149;0;;0.884765625;21238;m2;189929;0;
..\..\world\azeroth\duskwood\passivedoodads\spooklesstrees\duskwoodtreespookless02.obj;18349.099609375;25.3134708404541;27170.1171875;0;328;0;;1;21584;m2;189522;0;
..\..\world\azeroth\duskwood\passivedoodads\spooklesstrees\duskwoodtreespookless02.obj;18528;30.289812088012695;27165.337890625;0;118;0;;1;365460;m2;189522;0;
