ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID;DoodadSetIndexes;DoodadSetNames
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18066.720703125;43.555397033691406;26661.251953125;0;138.97030639648438;0;;1.2373046875;14118;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17682.76953125;48.05941390991211;26768.291015625;0;150;0;;1.1884765625;20105;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17529.77734375;35.657989501953125;26853.109375;0;241.99998474121094;0;;1.169921875;19435;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17575.220703125;54.80302429199219;26707.9453125;0;51;0;;1.1142578125;19277;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17774.943359375;32.193580627441406;26905.25;0;296;0;;1.1298828125;20487;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18212.02734375;38.20597457885742;26811.166015625;0;334;0;;1.1142578125;21056;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17926.173828125;45.07659149169922;26753.25;0;338;0;;1.0986328125;20081;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17662.22265625;30.257596969604492;26880.693359375;0;247;0;;1.08984375;20376;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18044.4453125;35.50386047363281;26929.3046875;0;22;0;;1.0849609375;20511;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17910.212890625;44.964080810546875;26632.470703125;0;250.88046264648438;0;;1.087890625;14053;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17631.02734375;61.852325439453125;26601.830078125;0;246;0;;1;14007;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17714.712890625;57.70143508911133;26651.47265625;0;103.977783203125;0;;1.07421875;14069;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18115.3046875;36.48784255981445;26838.998046875;0;27;0;;0.9541015625;20372;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17856.83984375;34.00457000732422;27069.412109375;0;-17.5;3;;1;20683;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17642.6015625;26.887048721313477;26986.03125;0;15.5;0;;1;20565;m2;189929;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;17993.693359375;36.87126541137695;27246.025390625;0;65;0;;1.1474609375;27724;m2;189560;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;18079.63671875;41.224178314208984;26805.443359375;0;218;0;;0.8046875;20265;m2;189929;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;17846.666015625;43.4703369140625;27242.109375;0;305;0;;1.025390625;27712;m2;189560;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;17754.833984375;40.6798095703125;27168.943359375;0;311;0;;1.0048828125;20755;m2;189560;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;17896.470703125;43.17267990112305;27247.58203125;0;43;0;;1.0009765625;27714;m2;189560;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;18054.666015625;33.180912017822266;27250.220703125;0;119;0;;1.0185546875;27729;m2;189560;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;18061.111328125;31.46050453186035;27181.970703125;0;307;0;;0.9853515625;460240;m2;189560;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17595.1015625;27.861818313598633;26891.01171875;0;318;0;;1.244140625;19475;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;17550.748046875;61.7483024597168;26613.359375;0;48;0;;1.244140625;13539;m2;189927;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;17788.783203125;34.71500778198242;27170.419921875;0;148;0;;0.9921875;20757;m2;189560;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;17684.859375;44.40613555908203;27108.5546875;0;147;0;;0.9599609375;20700;m2;189560;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17828.974609375;47.35004425048828;26751.142578125;0;198.5;0;;0.82421875;20074;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17958.583984375;48.81998825073242;26677.77734375;0;56;0;;1.19921875;19933;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;17918.33203125;47.71104049682617;26713.916015625;0;219;0;;1.1748046875;20041;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;17919.83203125;37.09815216064453;26917.77734375;0;234;0;;1.1748046875;20497;m2;189927;0;
..\..\world\azeroth\duskwood\passivedoodads\trees\duskwoodtreecanopy01.obj;17998.13671875;36.592647552490234;27148.4140625;0;250;0;;0.9892578125;20743;m2;189560;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;18009.150390625;39.04290771484375;26857.263671875;0;327.5;0;;1.1796875;20364;m2;189928;0;
