ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID;DoodadSetIndexes;DoodadSetNames
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16673.83203125;41.10858917236328;26739.47265625;0;333;0;;1.19921875;18188;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17011.6796875;61.4779052734375;26717.8515625;0;61.87689208984375;0;;1.1923828125;18171;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16730.939453125;35.845523834228516;27048.72265625;0;338.07061767578125;0;;1.1513671875;18876;m2;189929;0;
..\..\world\azeroth\duskwood\passivedoodads\spooklesstrees\duskwoodtreespookless02.obj;16725.615234375;31.719892501831055;27266.046875;0.49999988079071045;37;-1.5000003576278687;;1.1591796875;25630;m2;189522;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16586.146484375;35.774497985839844;26845.26953125;0;42.5;0;;1;18381;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17044.568359375;37.19948196411133;26811.69140625;0;131.5872802734375;0;;0.9921875;18374;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17133.423828125;27.446041107177734;26953.06640625;0;165.82171630859375;0;;1.1298828125;19539;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16961.240234375;28.111085891723633;27145.75390625;0;348.1234130859375;0;;1.1552734375;19089;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17092.228515625;22.546878814697266;27212.62109375;0;-43;3.5;;0.919921875;27305;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16854.435546875;44.97472381591797;26842.9140625;0;314.9656677246094;0;;0.8779296875;18404;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16677.0546875;41.33140563964844;26712.83203125;0;12;0;;1.0244140625;18133;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16795.26953125;48.707027435302734;26661.841796875;0;34.54206848144531;0;;0.8486328125;12670;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16837.6328125;48.29629135131836;26730.17578125;0;130.45562744140625;0;;0.8349609375;18165;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16539.609375;47.51106262207031;26651.873046875;0;97;0;;1.029296875;12637;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\canopylesstree01.obj;16858.2734375;18.696056365966797;26987.6015625;0;315.7457275390625;0;;1.0419921875;210358;m2;189919;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\canopylesstree01.obj;16826.376953125;24.464502334594727;26993.462890625;0;307.1101989746094;0;;1.0478515625;210444;m2;189919;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;16815.44921875;27.960962295532227;27112.140625;0;332.2806396484375;0;;1.2470703125;19040;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;16779.154296875;48.78215408325195;26706.27734375;0;141.84881591796875;0;;1.197265625;18147;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16599.166015625;39.46966552734375;26687.666015625;0;339;0;;0.794921875;18064;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;16995.759765625;34.79585647583008;27086.0078125;0;131.8948974609375;0;;1.181640625;18974;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17088.673828125;60.623172760009766;26621.849609375;0;0;0;;1;13464;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16510.576171875;38.3076286315918;27073.30078125;0;0;0;;1;17913;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;16748.701171875;41.524444580078125;26844.63671875;0;0;0;;1;18394;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy03.obj;17104.388671875;34.53083419799805;27065.296875;0;0;0;;1;19671;m2;189929;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;17028.75390625;36.09624099731445;27049.8359375;-7.500000476837158;55.66943359375;1.4999998807907104;;1.1474609375;18917;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy04.obj;16621.80859375;39.12897872924805;26673.6171875;0;202;0;;1.244140625;18067;m2;189930;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy01.obj;16663.0859375;31.939857482910156;27084.994140625;0;211.8448486328125;0;;1.13671875;18943;m2;189927;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;16561.794921875;40.622314453125;26718.341796875;0;111;0;;1.1943359375;18121;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;16509.6484375;37.40911865234375;26784.22265625;0;343;0;;1.2294921875;17247;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\elwynntreecanopy02.obj;16947.53125;32.703556060791016;26920.87109375;0;29.2249755859375;0;;1.1318359375;18530;m2;189928;0;
..\..\world\azeroth\elwynn\passivedoodads\trees\canopylesstree01.obj;16900.37109375;19.480512619018555;26920.7265625;0;197.4191131591797;0;;1.00390625;210354;m2;189919;0;
