ModelFile;PositionX;PositionY;PositionZ;RotationW;RotationX;RotationY;RotationZ;ScaleFactor;DoodadSet;FileDataID
..\..\..\..\generic\human\passivedoodads\hanginglanterns\generalhanginglantern01.obj;-30.70902442932129;-0.0975719541311264;16.0535888671875;0.7071067690849304;0;0;0.7071067690849304;1.46999990940094;Set_$DefaultGlobal;198291
..\..\..\..\generic\human\passivedoodads\hanginglanterns\generalhanginglantern01.obj;-30.70902442932129;0.46749067306518555;25.797948837280273;0.7071067690849304;0;0;0.7071067690849304;1.46999990940094;Set_$DefaultGlobal;198291
..\..\..\..\generic\human\passivedoodads\hanginglanterns\generalhanginglanternlong.obj;-18.113609313964844;-12.365799903869629;48.66598129272461;0.7071067690849304;0;0;0.7071067690849304;1.8263888359069824;Set_$DefaultGlobal;198292
..\..\..\..\generic\human\passivedoodads\hanginglanterns\generalhanginglanternlong.obj;-42.85966873168945;-12.380263328552246;48.66598129272461;1;0;0;2.1855694143368964e-8;1.8263888359069824;Set_$DefaultGlobal;198292
..\..\..\..\generic\human\passivedoodads\hanginglanterns\generalhanginglanternlong.obj;-42.8741340637207;12.365795135498047;48.66598129272461;0.7071067690849304;0;0;-0.7071067690849304;1.8263888359069824;Set_$DefaultGlobal;198292
..\..\..\..\generic\human\passivedoodads\hanginglanterns\generalhanginglanternlong.obj;-18.12807273864746;12.380260467529297;48.66598129272461;2.1855694143368964e-8;0;0;-1;1.8263888359069824;Set_$DefaultGlobal;198292
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-28.968013763427734;-17.558761596679688;25.01378059387207;0.6755902171134949;0;0;0.7372773885726929;1;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-16.99901008605957;-11.336977005004883;25.01378059387207;-0.34202009439468384;0;0;-0.9396926164627075;0.9999998211860657;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-12.935111045837402;1.5258549451828003;25.01378059387207;0.04361947625875473;0;0;-0.9990482330322266;0.9999999403953552;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-19.15690040588379;13.49485969543457;25.01378059387207;0.4226183295249939;0;0;-0.9063077569007874;0.9999998807907104;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-32.01973342895508;17.55875587463379;25.01378059387207;0.7372774481773376;0;0;-0.6755900979042053;1;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-43.98873519897461;11.33696460723877;25.01378059387207;0.9396926760673523;0;0;-0.3420199453830719;0.9999999403953552;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-48.05262756347656;-1.5258673429489136;25.01378059387207;0.9990482330322266;0;0;0.04361965134739876;1;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-41.83082962036133;-13.494867324829102;25.01378059387207;0.9063076376914978;0;0;0.4226185381412506;0.9999998807907104;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-44.21803283691406;-1.964235782623291;15.81973934173584;0.9993908405303955;0;0;0.0348997600376606;1;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-26.746858596801758;-13.299636840820312;12.564701080322266;0.6560588479042053;0;0;0.7547097206115723;1;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-28.87253761291504;13.647736549377441;19.24361228942871;0.6560592651367188;0;0;-0.7547094225883484;0.9345792531967163;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-16.24347496032715;0.09010908752679825;15.820181846618652;0.03926006332039833;0;0;-0.9992290139198303;1;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-39.53877639770508;10.631568908691406;-0.6845753788948059;0.9381914734840393;0;0;-0.3461167514324188;1;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-29.11629295349121;8.036465644836426;-0.6845753788948059;0.8638356328010559;0;0;-0.5037737488746643;1;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-36.957611083984375;-4.638076305389404;-0.6845753788948059;0.9469300508499146;0;0;0.3214397132396698;0.9999999403953552;Set_$DefaultGlobal;198074
..\..\..\..\generic\human\passivedoodads\candelabras\candelabratall02.obj;-43.74123001098633;3.483496904373169;6.76645565032959;0.9902681112289429;0;0;-0.13917283713817596;0.9345793724060059;Set_$DefaultGlobal;198074
..\..\..\..\azeroth\theblastedlands\passivedoodads\bones\blastedlandsskull01.obj;-29.863821029663086;0.6772617697715759;0.3205396831035614;0.7376758456230164;-0.05567749962210655;0.06129613518714905;0.6700575947761536;1;Set_A;190439
..\..\..\..\azeroth\theblastedlands\passivedoodads\bones\blastedlandsskull02.obj;-30.312185287475586;0.48863527178764343;0.314202219247818;0.5265128016471863;-0.09600178897380829;0.059988539665937424;0.8425967693328857;1.0000001192092896;Set_A;190440
..\..\..\..\generic\orc\passivedoodads\animalskulls\carnosaurskull.obj;-30.23073387145996;-2.203204393386841;0.4646131694316864;0.9426414370536804;0;0;-0.33380693197250366;0.9999998807907104;Set_A;199050
..\..\..\..\generic\human\passivedoodads\bookstacks\generalbookstackshort01.obj;-28.617408752441406;-2.4601452350616455;0.3180135190486908;0.9255405068397522;0;0;-0.378648579120636;1.090000033378601;Set_A;198055
..\..\..\..\generic\human\passivedoodads\bookstacks\generalbookstacktall01.obj;-28.250329971313477;-1.1551933288574219;0.3156399130821228;0.8594064116477966;0;0;0.5112931132316589;1.090000033378601;Set_A;198056
..\..\..\..\generic\human\passivedoodads\bookstacks\generalbookstacktall01.obj;-28.86717414855957;-0.3631998598575592;0.3069932758808136;0.0828082486987114;0;0;-0.9965655207633972;1.0092592239379883;Set_A;198056
..\..\..\..\generic\human\passivedoodads\bottles\greenbottle02.obj;-29.523048400878906;-1.4963676929473877;0.315148264169693;-0.004363314248621464;0;0;-0.9999904632568359;1.25;Set_A;198061
